가구고유번호,소비지출,지출_소비지출_식료품_외식비,지출_소비지출_주거비,지출_소비지출_교육비_보육료포함,지출_소비지출_의료비,지출_소비지출_교통비,지출_소비지출_통신비,지출_소비지출_경조비및기타소비지출
10200111,0,0,0,0,0,0,0,0
10200121,0,0,0,0,0,0,0,0
10200151,3430,800,390,0,200,430,310,1300
10200161,3176,1200,240,960,36,120,240,380
10200171,2905,1060,190,0,35,700,120,800
10200191,592,225,189,0,92,10,36,40
10200211,5196,720,230,3400,100,36,480,230
10200231,1122,850,160,0,12,15,41,44
10200241,3710,840,180,1150,240,600,360,340
10200251,1535,450,650,0,15,70,120,230
10200261,540,300,120,0,36,10,24,50
10200281,1744,720,192,0,120,240,132,340
10200311,1044,360,60,0,120,120,24,360
10200371,5644,1300,300,1700,20,900,324,1100
10201181,870,240,180,0,180,60,60,150
10201191,7980,600,400,4600,600,450,250,1080
10201211,426,240,60,0,20,20,36,50
10201241,2940,1200,240,600,90,200,150,460
10201291,728,200,144,0,110,18,36,220
10201321,4810,1800,384,1860,50,84,332,300
10201331,2680,480,360,900,200,200,200,340
10201351,3042,960,900,0,12,240,160,770
10201361,1846,600,504,0,12,240,240,250
10201381,2320,840,158,192,100,360,150,520
10202121,1906,900,120,0,350,200,96,240
10202131,1620,840,180,0,10,120,120,350
10202141,2000,430,200,0,50,120,84,1116
10202161,1559,480,240,0,650,36,0,153
10202171,2576,750,276,500,200,230,310,310
10202191,3500,1000,200,800,50,200,200,1050
10202301,1407,540,122,0,20,240,165,320
10202311,2097,600,288,660,20,168,276,85
10202321,1433,480,174,0,75,320,144,240
10202351,3536,960,372,400,180,624,480,520
10203141,2844,960,198,620,138,112,456,360
10203161,1772,600,312,0,80,240,120,420
10203171,1898,600,300,0,50,12,96,840
10203311,1425,480,135,0,70,280,100,360
10203351,700,240,180,0,100,20,60,100
10203361,672,360,120,0,5,60,12,115
10203391,3608,900,300,700,158,700,300,550
10204131,2880,1200,240,0,120,200,180,940
10300121,2399,420,186,169,125,157,222,1120
10300151,4712,1100,1172,840,200,240,120,1040
10300211,3210,750,600,0,200,400,200,1060
10300351,0,0,0,0,0,0,0,0
10400111,1600,360,160,600,10,150,170,150
10400151,0,0,0,0,0,0,0,0
10400181,1483,600,224,0,180,240,119,120
10400311,0,0,0,0,0,0,0,0
10400341,1560,480,220,0,0,120,120,620
10400351,995,240,180,60,25,180,140,170
10500131,0,0,0,0,0,0,0,0
10500141,0,0,0,0,0,0,0,0
10500151,0,0,0,0,0,0,0,0
10500161,0,0,0,0,0,0,0,0
10500171,2082,500,240,600,12,240,240,250
10500181,5160,1200,280,2000,300,600,420,360
10500191,2076,840,300,0,100,120,216,500
10501101,0,0,0,0,0,0,0,0
10501111,1316,420,216,0,20,150,160,350
10501131,0,0,0,0,0,0,0,0
10501141,2300,800,200,0,200,600,150,350
10501201,0,0,0,0,0,0,0,0
10501211,2704,500,264,380,60,400,240,860
10501221,1724,600,480,300,12,72,120,140
10501231,4460,1800,240,1200,100,300,240,580
10501241,0,0,0,0,0,0,0,0
10501271,0,0,0,0,0,0,0,0
10501281,0,0,0,0,0,0,0,0
10501291,0,0,0,0,0,0,0,0
10503301,0,0,0,0,0,0,0,0
10503311,0,0,0,0,0,0,0,0
10503331,0,0,0,0,0,0,0,0
10503341,0,0,0,0,0,0,0,0
10503351,0,0,0,0,0,0,0,0
10503361,3168,480,360,800,300,500,168,560
10503391,0,0,0,0,0,0,0,0
10600121,0,0,0,0,0,0,0,0
10600131,0,0,0,0,0,0,0,0
10600141,0,0,0,0,0,0,0,0
10600151,0,0,0,0,0,0,0,0
10600171,0,0,0,0,0,0,0,0
10600191,0,0,0,0,0,0,0,0
10600211,0,0,0,0,0,0,0,0
10600221,0,0,0,0,0,0,0,0
10600241,0,0,0,0,0,0,0,0
10600271,0,0,0,0,0,0,0,0
10600281,0,0,0,0,0,0,0,0
10600291,0,0,0,0,0,0,0,0
10600311,1830,700,180,0,50,300,150,450
10600321,1596,360,240,0,120,360,156,360
10600331,0,0,0,0,0,0,0,0
10600351,0,0,0,0,0,0,0,0
10600361,0,0,0,0,0,0,0,0
10600371,0,0,0,0,0,0,0,0
10600381,0,0,0,0,0,0,0,0
10601101,889,360,240,0,30,11,48,200
10601111,2200,880,120,360,60,20,400,360
10601121,1200,538,564,0,20,12,36,30
10601131,1030,360,360,0,10,30,120,150
10601141,620,120,120,0,30,120,80,150
10601151,1159,360,570,0,5,24,80,120
10601161,0,0,0,0,0,0,0,0
11200151,853,240,371,0,10,30,132,70
11200171,4180,500,200,1800,300,380,250,750
11200181,629,288,158,0,35,18,35,95
11200211,1112,840,70,0,10,30,12,150
11200231,960,160,324,0,320,60,36,60
11200241,2342,400,240,0,1000,204,168,330
11200251,1778,540,180,400,60,144,144,310
11200261,1748,360,140,0,240,240,168,600
11200291,2970,600,168,0,600,670,332,600
11200301,3364,840,264,760,600,240,180,480
11200331,2128,420,180,900,20,180,168,260
11200351,2970,600,150,840,20,360,240,760
11200371,531,250,120,0,5,24,42,90
11200381,4592,960,360,360,120,960,192,1640
11200391,2446,1200,240,0,10,516,180,300
11201101,0,0,0,0,0,0,0,0
11201121,0,0,0,0,0,0,0,0
11201161,0,0,0,0,0,0,0,0
11201171,0,0,0,0,0,0,0,0
11201181,0,0,0,0,0,0,0,0
11201191,0,0,0,0,0,0,0,0
11201211,458,120,200,0,10,70,28,30
11201311,5810,1200,300,2800,530,360,320,300
11201321,5930,2000,600,2000,200,300,180,650
11202141,0,0,0,0,0,0,0,0
11202151,0,0,0,0,0,0,0,0
11202191,2760,1200,360,0,20,120,40,1020
11202341,2820,900,285,840,20,15,240,520
11202371,10560,3000,600,1000,200,800,200,4760
11202391,2550,400,360,600,300,200,240,450
11203111,2384,480,348,0,420,132,144,860
11203181,1500,1000,100,0,100,100,100,100
11203321,4142,1800,336,828,48,654,216,260
11203341,1678,480,420,0,500,30,108,140
11203351,600,200,156,0,120,10,40,74
11203361,1920,600,480,0,10,240,180,410
11203371,1176,540,120,0,60,180,96,180
11203381,1188,300,252,120,30,42,204,240
11204121,0,0,0,0,0,0,0,0
11204131,0,0,0,0,0,0,0,0
11204171,0,0,0,0,0,0,0,0
11500101,1396,420,180,0,40,300,156,300
11500111,1632,180,474,0,450,108,180,240
11500141,0,0,0,0,0,0,0,0
11500151,0,0,0,0,0,0,0,0
11500161,0,0,0,0,0,0,0,0
11500171,3798,700,720,810,448,152,198,770
11500181,4770,920,200,1100,150,900,200,1300
11500191,0,0,0,0,0,0,0,0
11501201,0,0,0,0,0,0,0,0
11501261,0,0,0,0,0,0,0,0
11501291,0,0,0,0,0,0,0,0
11503301,0,0,0,0,0,0,0,0
11503331,3370,1000,350,800,150,320,350,400
11503351,2520,360,300,0,300,1200,120,240
11503361,1308,600,168,0,20,200,120,200
11503381,8280,2400,480,1500,150,1500,500,1750
11600111,1428,540,350,0,10,190,98,240
11600121,3160,720,200,0,20,360,360,1500
11600131,924,360,80,0,100,100,24,260
11600151,350,120,60,0,0,60,50,60
11600181,1730,720,180,0,36,360,144,290
11600201,0,0,0,0,0,0,0,0
11600211,0,0,0,0,0,0,0,0
11600221,0,0,0,0,0,0,0,0
11600231,0,0,0,0,0,0,0,0
11600261,0,0,0,0,0,0,0,0
11600271,0,0,0,0,0,0,0,0
11600281,0,0,0,0,0,0,0,0
11600291,0,0,0,0,0,0,0,0
11600311,0,0,0,0,0,0,0,0
11600331,3970,1100,300,1500,100,500,250,220
11600341,5400,2400,840,840,120,600,360,240
11600361,0,0,0,0,0,0,0,0
11600371,0,0,0,0,0,0,0,0
11600381,2510,1200,420,0,30,40,100,720
12200111,2800,700,520,600,24,240,216,500
12200141,914,480,124,0,100,30,100,80
12200151,1466,480,540,0,20,84,42,300
12200191,3202,600,1812,0,160,110,140,380
12200211,1204,320,81,450,5,62,156,130
12200231,7278,2700,384,600,36,150,288,3120
12200271,995,400,190,0,100,80,95,130
12200301,1255,100,204,0,50,250,160,491
12200321,335,100,25,100,10,50,20,30
12200331,3360,660,300,0,300,720,480,900
12200341,2045,400,240,0,5,70,156,1174
12200351,1226,200,216,0,60,80,130,540
12200361,1255,250,312,0,50,190,144,309
12201121,0,0,0,0,0,0,0,0
12201141,0,0,0,0,0,0,0,0
12201151,0,0,0,0,0,0,0,0
12201161,0,0,0,0,0,0,0,0
12201211,429,150,150,0,30,36,36,27
12201271,1774,480,120,0,60,180,80,854
12201281,514,240,156,0,30,20,48,20
12201331,3328,840,780,600,50,225,258,575
12201361,2064,600,264,0,240,360,180,420
12202101,469,300,20,0,10,60,19,60
12202121,1712,600,240,0,120,132,120,500
12202131,2944,780,432,100,600,240,192,600
12202151,274,144,0,0,0,30,40,60
12202301,4074,780,570,0,840,660,204,1020
12202311,3020,860,250,850,60,500,150,350
12202321,1054,330,180,0,80,60,24,380
12202331,2843,1200,348,500,85,260,300,150
12202351,2321,880,240,98,50,398,245,410
12203111,3166,1640,156,36,100,804,180,250
12203121,3060,480,200,120,1300,220,150,590
12203161,0,0,0,0,0,0,0,0
12203171,0,0,0,0,0,0,0,0
12203191,0,0,0,0,0,0,0,0
12203331,4680,1000,600,1400,400,120,360,800
12203361,2310,500,140,0,200,900,120,450
12204151,0,0,0,0,0,0,0,0
12500121,4950,1800,320,1040,150,430,480,730
12500161,0,0,0,0,0,0,0,0
12500181,0,0,0,0,0,0,0,0
12500191,0,0,0,0,0,0,0,0
12501201,0,0,0,0,0,0,0,0
12501211,0,0,0,0,0,0,0,0
12503301,3440,800,230,1140,250,240,300,480
12503311,2499,360,732,672,15,120,240,360
12503331,4044,960,606,1056,120,386,336,580
12503341,1200,514,310,0,40,60,96,180
12503351,1394,600,300,0,6,60,108,320
12503361,702,360,140,0,50,20,12,120
12503371,1140,400,120,0,15,125,130,350
12503381,1904,510,870,0,24,170,180,150
12503391,2950,800,650,0,200,500,100,700
12600111,0,0,0,0,0,0,0,0
12600121,0,0,0,0,0,0,0,0
12600131,0,0,0,0,0,0,0,0
12600151,0,0,0,0,0,0,0,0
12600161,0,0,0,0,0,0,0,0
12600181,0,0,0,0,0,0,0,0
12600191,0,0,0,0,0,0,0,0
12600201,0,0,0,0,0,0,0,0
12600211,0,0,0,0,0,0,0,0
12600221,0,0,0,0,0,0,0,0
12600241,2676,888,312,420,36,180,240,600
12600261,420,140,170,0,36,12,12,50
12600271,1104,480,120,0,72,96,96,240
